date,PM2.5,O3,CO,NO2,SO2,AQI_PM2.5,AQI_O3,AQI_CO,AQI_NO2,AQI_SO2,AQI,AQI_Category,num_pollutants_available
2011-01-29,28.950000000018413,0.0074319999999984294,0.5354110000000195,32.36527766667452,6.267347709677643,86.0,7.0,6.0,31.0,9.0,86.0,Moderate,5
2011-01-30,16.98000000002212,0.013604499999990418,0.42879200000014744,28.715277999968947,5.383517064517307,61.0,13.0,5.0,27.0,8.0,61.0,Moderate,5
2011-01-31,11.100000000006482,0.015424750000002582,0.3401017500000252,25.261110999990457,4.368951451612323,46.0,14.0,4.0,24.0,6.0,46.0,Good,5
2011-02-01,14.149999999992861,0.012215500000004821,0.46433149999999246,33.62317466667383,8.246533064514088,55.0,11.0,5.0,32.0,12.0,55.0,Moderate,5
2011-02-02,8.00000000001637,0.017886999999986317,0.3486195000005823,23.058333333327077,2.8942205161278176,33.0,17.0,4.0,22.0,4.0,33.0,Good,5
2011-02-03,14.15000000001281,0.011135749999996053,0.41017800000010635,29.54671733333719,4.431308967741972,55.0,10.0,5.0,28.0,6.0,55.0,Moderate,5
2011-02-04,13.5,0.015415749999995003,0.4142517499999373,32.597222333329185,4.846023677417876,54.0,14.0,5.0,31.0,7.0,54.0,Moderate,5
2011-02-05,22.11999999996219,0.007587499999984183,0.5312150000002304,35.12361100003921,6.425284774191593,72.0,7.0,6.0,33.0,9.0,72.0,Moderate,5
2011-02-06,11.550000000001358,0.021860000000013865,0.353570250000122,17.26035333332893,2.8332567741934764,48.0,20.0,4.0,16.0,4.0,48.0,Good,5
2011-02-07,18.650000000015236,0.012677749999995472,0.48303975000015587,30.252193000006756,4.134265225806852,65.0,12.0,5.0,29.0,6.0,65.0,Moderate,5
2011-02-08,12.459999999995278,0.017634750000004803,0.42863100000019977,24.450757666656678,2.27188264516152,52.0,16.0,5.0,23.0,3.0,52.0,Moderate,5
2011-02-09,10.299999999988376,0.019255999999993955,0.28921574999985317,22.148697666663672,3.1187464193547516,43.0,18.0,3.0,21.0,4.0,43.0,Good,5
2011-02-10,12.850000000008654,0.016582250000009485,0.3333920000000016,25.720634666664566,3.7394998709676597,53.0,15.0,4.0,24.0,5.0,53.0,Moderate,5
2011-02-11,16.06000000000592,0.012018499999979802,0.44788750000001887,33.54823233330749,6.1565692903213085,59.0,11.0,5.0,32.0,9.0,59.0,Moderate,5
2011-02-12,18.95000000001164,0.022204000000009532,0.4514849999999917,25.766666666664175,4.333344548386527,65.0,21.0,5.0,24.0,6.0,65.0,Moderate,5
2011-02-13,12.5,0.03177974999999523,0.2862570000000262,16.216413999995975,3.1270945483873582,52.0,29.0,3.0,15.0,4.0,52.0,Moderate,5
2011-02-14,10.599999999980398,0.029292249999987505,0.3556707499999063,20.823737000032796,3.2319133225811676,44.0,27.0,4.0,20.0,5.0,44.0,Good,5
2011-02-15,6.800000000004709,0.0273014999999964,0.2525160000000118,15.733531999997163,1.9542724516131176,28.0,25.0,3.0,15.0,3.0,28.0,Good,5
2011-02-16,9.199999999993414,0.018102750000000844,0.33359075000004185,28.043181666663244,3.520306903225928,38.0,17.0,4.0,26.0,5.0,38.0,Good,5
2011-02-17,21.84000000000727,0.010376249999988664,0.5690635000003709,40.45858599998526,5.0325319032273335,71.0,10.0,6.0,38.0,7.0,71.0,Moderate,5
2011-02-18,21.60000000000755,0.022270749999983307,0.5192342500002639,32.42061400000194,3.2550325161294493,71.0,21.0,6.0,31.0,5.0,71.0,Moderate,5
2011-02-19,7.800000000004031,0.02774850000000408,0.26127050000002366,8.675505000001985,1.46111835483845,33.0,26.0,3.0,8.0,2.0,33.0,Good,5
2011-02-20,7.700000000001146,0.025302499999970283,0.23226225000034856,10.339646333335018,1.8233486774202163,32.0,23.0,3.0,10.0,3.0,32.0,Good,5
2011-02-21,9.0,0.02773999999999306,0.28869049999995405,14.847619333334238,1.9800710967742028,38.0,26.0,3.0,14.0,3.0,38.0,Good,5
2011-02-22,8.0999999999958,0.023273499999991835,0.291676000000069,17.52196966666578,2.5470322903224876,34.0,22.0,3.0,17.0,4.0,34.0,Good,5
2011-02-23,7.119999999985126,0.01993674999999947,0.3124312499996898,22.354479666648462,2.8800790967730885,30.0,18.0,4.0,21.0,4.0,30.0,Good,5
2011-02-24,17.100000000008134,0.017374499999993572,0.5372392499997788,32.9194443333471,8.214222806451001,62.0,16.0,6.0,31.0,12.0,62.0,Moderate,5
2011-02-25,11.700000000004607,0.017584500000008507,0.444071999999807,23.40782866667476,1.550505903225778,49.0,16.0,5.0,22.0,2.0,49.0,Good,5
2011-02-26,9.039999999998575,0.02414249999997305,0.30999800000008587,17.011994666694278,2.135812838709757,38.0,22.0,4.0,16.0,3.0,38.0,Good,5
2011-02-27,11.15000000000531,0.01857049999999183,0.3706464999999871,17.2041666666705,1.7013005806450765,46.0,17.0,4.0,16.0,2.0,46.0,Good,5
2011-02-28,16.19999999997471,0.02191471428573211,0.5735795000000545,35.218434333335495,2.6192540967750424,60.0,20.0,7.0,33.0,4.0,60.0,Moderate,5
2011-03-01,7.539999999993463,0.026863749999975393,0.3432704999994585,21.16642166660564,2.4537932580651747,31.0,25.0,4.0,20.0,4.0,31.0,Good,5
2011-03-02,9.949999999999912,0.03197712500000709,0.33013900000009505,13.820833250006078,2.4609089677406675,41.0,30.0,4.0,13.0,4.0,41.0,Good,5
2011-03-03,9.0,0.03021862500000587,0.26940624999978957,11.965151499995914,2.352598612904064,38.0,28.0,3.0,11.0,3.0,38.0,Good,5
2011-03-04,10.000000000014817,0.027401000000005563,0.39662775000072187,24.463541750022994,5.376396258057668,42.0,25.0,5.0,23.0,8.0,42.0,Good,5
2011-03-05,7.299999999986585,0.03749187499999252,0.35494924999998323,11.979166500005569,1.9079748387091442,30.0,35.0,4.0,11.0,3.0,35.0,Good,5
2011-03-06,6.650000000013807,0.040157625000005075,0.328689250000378,6.2049245000063635,1.3473902903230845,28.0,37.0,4.0,6.0,2.0,37.0,Good,5
2011-03-07,4.680000000001221,0.03299399999998638,0.3099697499995449,8.7279922500194,1.3236976774194427,20.0,31.0,4.0,8.0,2.0,31.0,Good,5
2011-03-08,6.700000000008645,0.0317342499999373,0.3344582499996443,17.180776749990113,2.041895161289579,28.0,29.0,4.0,16.0,3.0,29.0,Good,5
2011-03-09,6.299999999993075,0.03555425000000259,0.35573700000024333,16.194696999984902,1.6740590967744475,26.0,33.0,4.0,15.0,2.0,33.0,Good,5
2011-03-10,10.800000000016755,0.035030125000080535,0.34378975000049855,11.173376999972128,1.1688205806450902,45.0,32.0,4.0,11.0,2.0,45.0,Good,5
2011-03-11,8.350000000003856,0.02690637499997544,0.4927972500003611,18.640056749997388,1.2528673548391176,35.0,25.0,6.0,18.0,2.0,35.0,Good,5
2011-03-12,10.050000000009012,0.028862499999969732,0.3833097500000645,12.697916500007334,1.6285302258060603,42.0,27.0,4.0,12.0,2.0,42.0,Good,5
2011-03-13,10.459999999966712,0.027063625000046467,0.39242599999944067,15.576420499990752,1.9578275483854048,44.0,25.0,4.0,15.0,3.0,44.0,Good,5
2011-03-14,4.750000000006883,0.02477049999998868,0.35835499999972714,13.778787750020133,1.557918935483789,20.0,23.0,4.0,13.0,2.0,23.0,Good,5
2011-03-15,6.900000000013807,0.02545812500002342,0.44757050000079934,18.973484750011487,2.7124591935479874,29.0,24.0,5.0,18.0,4.0,29.0,Good,5
2011-03-16,9.280000000045106,0.018760857142865177,0.41228699999997764,20.31780300001756,1.5682579677441955,39.0,17.0,5.0,19.0,2.0,39.0,Good,5
2011-03-17,10.150000000009058,0.03180662499997492,0.42722824999941755,20.39479175000395,1.850235193549238,42.0,29.0,5.0,19.0,3.0,42.0,Good,5
2011-03-18,10.59999999998795,0.03815250000002892,0.36613174999969234,13.793371000008458,1.7692876129042845,44.0,35.0,4.0,13.0,3.0,44.0,Good,5
2011-03-19,5.750000000018484,0.029882999999936717,0.3368129999996768,10.410321999998489,1.9761273548396854,24.0,28.0,4.0,10.0,3.0,28.0,Good,5
2011-03-20,5.89999999998765,0.03734412499999689,0.30606949999980715,9.611079500006863,3.084498290321536,25.0,35.0,3.0,9.0,4.0,35.0,Good,5
2011-03-21,6.150000000013698,0.03175712500003168,0.3710357500002219,16.81206125001358,1.4840704193551275,26.0,29.0,4.0,16.0,2.0,29.0,Good,5
2011-03-22,7.219999999988164,0.032072875000053,0.3267572499999904,13.794818749994903,1.8678660967752216,30.0,30.0,4.0,13.0,3.0,30.0,Good,5
2011-03-23,7.450000000006783,0.033036249999987666,0.3324055000000186,14.309280000015333,1.9043795483873398,31.0,31.0,4.0,13.0,3.0,31.0,Good,5
