date_local,PM2.5,O3,CO,NO2,SO2,date,AQI_PM2.5,AQI_O3,AQI_CO,AQI_NO2,AQI_SO2,AQI,AQI_Category,num_pollutants_available
2009-04-04,4.2,0.029765,0.229167,3.083333,0.9125,2009-04-04,18.0,28.0,3.0,3.0,1.0,28.0,Good,5
2009-04-05,6.0,0.035042000000000004,0.206409,7.458333,1.35,2009-04-05,25.0,32.0,2.0,7.0,2.0,32.0,Good,5
2009-04-06,7.1,0.019,0.533333,27.058824,4.5,2009-04-06,30.0,18.0,6.0,26.0,6.0,30.0,Good,5
2009-04-07,6.7,0.029417,0.433333,14.166667000000002,1.0,2009-04-07,28.0,27.0,5.0,13.0,1.0,28.0,Good,5
2009-04-08,7.2,0.030059,0.246783,16.409091,1.3375,2009-04-08,30.0,28.0,3.0,15.0,2.0,30.0,Good,5
2009-04-09,9.7,0.029875,0.245833,23.857143,2.134783,2009-04-09,40.0,28.0,3.0,23.0,3.0,40.0,Good,5
2009-04-10,12.2,0.043588,0.345833,24.625,2.0,2009-04-10,51.0,40.0,4.0,23.0,3.0,51.0,Moderate,5
2009-04-11,12.4,0.044583,0.260174,14.272727,1.541667,2009-04-11,52.0,41.0,3.0,13.0,2.0,52.0,Moderate,5
2009-04-12,5.6,0.033167,0.176042,9.25,1.0,2009-04-12,23.0,31.0,2.0,9.0,1.0,31.0,Good,5
2009-04-13,4.8,0.039708,0.309524,23.208333,2.1,2009-04-13,20.0,37.0,4.0,22.0,3.0,37.0,Good,5
2009-04-14,7.2,0.026647000000000004,0.279167,9.25,4.625,2009-04-14,30.0,25.0,3.0,9.0,7.0,30.0,Good,5
2009-04-15,6.6,0.044583,0.359091,3.4545449999999995,2.708333,2009-04-15,28.0,41.0,4.0,3.0,4.0,41.0,Good,5
2009-04-16,8.6,0.04475,0.358333,24.590909,2.5875,2009-04-16,36.0,41.0,4.0,23.0,4.0,41.0,Good,5
2009-04-17,9.3,0.044708,0.3625,20.083333,1.916667,2009-04-17,39.0,41.0,4.0,19.0,3.0,41.0,Good,5
2009-04-18,9.6,0.030235,0.225,7.5,1.75,2009-04-18,40.0,28.0,3.0,7.0,2.0,40.0,Good,5
